executor,agent,exit,seconds,ok
kimi,1,0,10.7,1
kimi,3,0,11.3,1
kimi,22,0,13.2,1
kimi,27,0,14.1,1
kimi,25,0,14.3,1
kimi,12,0,16.1,1
kimi,30,0,14.3,1
grok,13,0,16.7,1
kimi,5,0,17.7,1
grok,22,0,16.0,1
grok,10,0,17.6,1
kimi,4,0,18.1,1
kimi,17,0,16.9,1
grok,27,0,15.6,1
grok,2,0,18.3,1
grok,20,0,16.8,1
grok,26,0,15.9,1
grok,12,0,17.9,1
grok,19,0,17.3,1
grok,7,0,18.4,1
grok,18,0,17.4,1
grok,1,0,18.8,1
grok,30,0,15.7,1
grok,15,0,18.0,1
grok,4,0,18.9,1
grok,9,0,18.6,1
grok,21,0,17.3,1
grok,5,0,19.0,1
grok,25,0,16.8,1
grok,28,0,16.7,1
kimi,7,0,19.0,1
kimi,29,0,16.6,1
kimi,11,0,19.0,1
grok,17,0,18.7,1
grok,23,0,17.6,1
grok,3,0,20.1,1
kimi,2,0,20.1,1
kimi,16,0,19.4,1
grok,14,0,19.6,1
grok,24,0,18.0,1
grok,8,0,20.0,1
kimi,6,0,20.1,1
kimi,20,0,19.0,1
grok,29,0,18.2,1
kimi,19,0,19.6,1
kimi,23,0,19.1,1
grok,6,0,21.4,1
kimi,9,0,21.4,1
kimi,13,0,21.3,1
kimi,28,0,19.9,1
grok,16,0,22.7,1
kimi,15,0,23.1,1
kimi,18,0,22.9,1
kimi,26,0,21.9,1
kimi,8,0,24.2,1
kimi,14,0,25.1,1
kimi,21,0,24.9,1
kimi,24,0,25.6,1
grok,11,0,30.7,1
kimi,10,0,31.5,1
